1	1	0.00	1.00	1	100	 0.171
1	2	0.00	1.00	1	100	 0.194
1	3	0.00	1.00	1	100	 0.223
1	4	0.00	1.00	1	100	 0.220
1	5	0.00	1.00	1	100	 0.216
1	6	0.00	1.00	1	100	 0.201
1	7	0.00	1.00	1	100	 0.183
1	8	0.00	1.00	1	100	 0.197
1	9	0.00	1.00	1	100	 0.185
1	10	0.00	1.00	1	100	 0.181
1	11	0.00	1.00	1	100	 0.175
1	12	0.00	1.00	1	100	 0.174
1	13	0.00	1.00	1	100	 0.161
1	14	0.00	1.00	1	100	 0.163
1	15	0.00	1.00	1	100	 0.163
1	16	0.00	1.00	1	100	 0.161
1	17	0.00	1.00	1	100	 0.151
1	18	0.00	1.00	1	100	 0.148
1	19	0.00	1.00	1	100	 0.156
1	20	0.00	1.00	1	100	 0.152
1	21	0.00	1.00	1	100	 0.149
1	22	0.00	1.00	1	100	 0.157
1	23	0.00	1.00	1	100	 0.148
1	24	0.00	1.00	1	100	 0.139
1	25	0.00	1.00	1	100	 0.144
1	26	0.00	1.00	1	100	 0.138
1	27	0.00	1.00	1	100	 0.145
1	28	0.00	1.00	1	100	 0.139
1	29	0.00	1.00	1	100	 0.132
1	30	0.00	1.00	1	100	 0.139
